date,year,quarter_of_year,month_number,month_name,day_of_month,day_of_week_number,day_of_week_name,week_of_year,is_weekday
2018-01-03,2018,1,1,January,3,2,Wednesday,1,True
2018-01-04,2018,1,1,January,4,3,Thursday,1,True
2018-01-05,2018,1,1,January,5,4,Friday,1,True
2018-01-06,2018,1,1,January,6,5,Saturday,1,False
2018-01-07,2018,1,1,January,7,6,Sunday,1,False
2018-01-08,2018,1,1,January,8,0,Monday,2,True
2018-01-09,2018,1,1,January,9,1,Tuesday,2,True
2018-01-10,2018,1,1,January,10,2,Wednesday,2,True
2018-01-11,2018,1,1,January,11,3,Thursday,2,True
2018-01-12,2018,1,1,January,12,4,Friday,2,True
2018-01-13,2018,1,1,January,13,5,Saturday,2,False
2018-01-14,2018,1,1,January,14,6,Sunday,2,False
2018-01-15,2018,1,1,January,15,0,Monday,3,True
2018-01-16,2018,1,1,January,16,1,Tuesday,3,True
2018-01-17,2018,1,1,January,17,2,Wednesday,3,True
2018-01-18,2018,1,1,January,18,3,Thursday,3,True
2018-01-19,2018,1,1,January,19,4,Friday,3,True
2018-01-20,2018,1,1,January,20,5,Saturday,3,False
2018-01-21,2018,1,1,January,21,6,Sunday,3,False
2018-01-22,2018,1,1,January,22,0,Monday,4,True
2018-01-23,2018,1,1,January,23,1,Tuesday,4,True
2018-01-24,2018,1,1,January,24,2,Wednesday,4,True
2018-01-25,2018,1,1,January,25,3,Thursday,4,True
2018-01-26,2018,1,1,January,26,4,Friday,4,True
2018-01-27,2018,1,1,January,27,5,Saturday,4,False
2018-01-28,2018,1,1,January,28,6,Sunday,4,False
2018-01-29,2018,1,1,January,29,0,Monday,5,True
2018-01-30,2018,1,1,January,30,1,Tuesday,5,True
2018-01-31,2018,1,1,January,31,2,Wednesday,5,True
2018-02-01,2018,1,2,February,1,3,Thursday,5,True
2018-02-02,2018,1,2,February,2,4,Friday,5,True
2018-02-03,2018,1,2,February,3,5,Saturday,5,False
2018-02-04,2018,1,2,February,4,6,Sunday,5,False
2018-02-05,2018,1,2,February,5,0,Monday,6,True
2018-02-06,2018,1,2,February,6,1,Tuesday,6,True
2018-02-07,2018,1,2,February,7,2,Wednesday,6,True
2018-02-08,2018,1,2,February,8,3,Thursday,6,True
2018-02-09,2018,1,2,February,9,4,Friday,6,True
2018-02-10,2018,1,2,February,10,5,Saturday,6,False
2018-02-11,2018,1,2,February,11,6,Sunday,6,False
2018-02-12,2018,1,2,February,12,0,Monday,7,True
2018-02-13,2018,1,2,February,13,1,Tuesday,7,True
2018-02-14,2018,1,2,February,14,2,Wednesday,7,True
2018-02-15,2018,1,2,February,15,3,Thursday,7,True
